都道府県名,municipality,town,小字・通称名,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,半田市,栄町三丁目,,11,7,-123588.8,-22388.5,34.885714,136.92173,0,1,0,0
愛知県,半田市,栄町四丁目,,15,7,-123864.5,-22504,34.883226,136.920474,0,1,0,0
愛知県,半田市,栄町二丁目,,3,7,-123453.6,-22306,34.886935,136.922629,0,1,0,0
愛知県,半田市,榎下町,,10,7,-121932.6,-21756.2,34.900658,136.928604,0,1,0,0
愛知県,半田市,奥町一丁目,,42,7,-120884.6,-26349.7,34.909996,136.878309,0,1,0,0
愛知県,半田市,奥町三丁目,,41,7,-120537.5,-26037.2,34.913133,136.88172,0,1,0,0
愛知県,半田市,奥町四丁目,,9,7,-120425.1,-26469.2,34.914135,136.876988,0,1,0,0
愛知県,半田市,横山町,,5,7,-121847,-25518.2,34.901342,136.887438,0,1,0,0
愛知県,半田市,横松上町,,2,7,-120401.3,-21071,34.914476,136.936065,0,1,0,0
愛知県,半田市,横川町一丁目,,1,7,-118692.6,-20411.2,34.929893,136.943244,0,1,0,0
愛知県,半田市,横川町三丁目,,210,7,-119860.3,-20293.4,34.919369,136.944561,0,1,0,0
愛知県,半田市,横川町二丁目,,50,7,-119128.1,-20381.7,34.925969,136.943576,0,1,0,0
愛知県,半田市,乙川一色町,,1,7,-121173.3,-20965.5,34.907519,136.937238,0,1,0,0
愛知県,半田市,乙川栄町,,61,7,-121136.8,-20583.2,34.907856,136.94142,0,1,0,0
愛知県,半田市,乙川吉野町,,1,7,-121201.3,-21078.7,34.907265,136.936001,0,1,0,0
愛知県,半田市,乙川源内林町一丁目,,2,7,-120642.8,-20894.7,34.912303,136.938001,0,1,0,0
愛知県,半田市,乙川源内林町三丁目,,12,7,-120341,-21003,34.915022,136.936808,0,1,0,0
愛知県,半田市,乙川源内林町二丁目,,1,7,-120493.6,-20893,34.913648,136.938014,0,1,0,0
愛知県,半田市,乙川向田町一丁目,,35,7,-121361.1,-20024.2,34.905844,136.947541,0,1,0,0
愛知県,半田市,乙川向田町二丁目,,9,7,-121314.8,-19768.7,34.906267,136.950337,0,1,0,0
愛知県,半田市,乙川高良町,,65,7,-121306.8,-20619,34.906323,136.941033,0,1,0,0
愛知県,半田市,乙川市場町一丁目,,1,7,-121044.1,-20386.2,34.908695,136.943572,0,1,0,0
愛知県,半田市,乙川市場町二丁目,,8,7,-121135.6,-20361.2,34.907871,136.943849,0,1,0,0
